,movie_title,movie_info,date,genres,content_rating,directors,writers,actors,tomatometer_rating,IMDB_rating,twit_mean_rating,Poster,streaming
1675,The Blue Lagoon,"Seven-year-old cousins Emmeline (Elva Josephson) and Richard (Glenn Kohan) survive a shipwreck and find themselves marooned on a beautiful island somewhere in the Pacific Ocean. Under the tutelage of a fellow castaway, Paddy Button (Leo McKern), the two learn the basics of survival. When Paddy dies, however, the now adolescent Emmeline (Brooke Shields) and Richard (Christopher Atkins) are on their own to discover sex, love and loneliness in a tropical paradise.",1949,"Action & Adventure, Drama",R,Randal Kleiser,Douglas Day Stewart,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Chad Timmerrnans, Alan Hopgood, Gus Mercurio, Jeffrey Means, Bradley Pryce, Chad Timmermans, Gert Jacoby, Alex Hamilton, Richard Evanson, Randal Kleiser",0.8,6.4,6.538461538461538,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTM5MDU2OF5BMl5BanBnXkFtZTgwNjI0OTgzMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
1676,The Book of Eli,"Thirty years after war turned the world into a wasteland, a lone warrior named Eli (Denzel Washington) marches across the ruined landscape, carrying hope for humanity's redemption. Only one other man (Gary Oldman) understands the power of what Eli carries, and he is determined to take it for himself. Though Eli prefers peace, he will risk death to protect his precious cargo, for he must fulfill his destiny to help restore mankind.",2010,Action & Adventure,R,"Albert Hughes, Allen Hughes","Anthony Peckham, Gary Whitta","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Evan Jones, Joe Pingue, Frances de la Tour, Michael Gambon, Tom Waits, Chris Browning, Richard Cetrone, Lateef Crowder, Keith Davis, Don Thai Theerathada, Thom Harris Williams, Lora Martinez Cunningham, Scott Wilder, Heidi Pascoe, Jennifer Caputo, Eddie Perez, Spencer Sano, Karin Silvestri, Mike Gunther, John Koyama, Mike McCarty, Michael McCarty, Scott Michael Morgan, Sala Baker, Arron Shiver, Justin Tade, Mike Seal, Richard Smith, Paul Crawford, Edward A. Duran, David Wald, Jermaine Washington, Kofi Elam, Kofi W. Elam, Clay Donahue Fontenot, Al Goto, Clay Fontenot, Brad Martin, Tim Rigby, Luis Bordonada, Robert Powell, Angelique Midthunder, Todd Schneider, Darrin Prescott, Laurence Chavez, Brian Lucero, David Midthunder",4.7,6.8,6.920289855072464,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
1677,The Book of Life,"On the last day of 1999, Jesus (Martin Donovan) and Magdalena (P.J. Harvey) touch down at the airport and are thinking about the end of the world. Once they retrieve a laptop computer from a locker, with a few simple clicks prophecy will be realized and Armageddon will commence. Seeing humanity in all its complexity causes Jesus to have second thoughts, though. Meanwhile, Satan (Thomas Jay Ryan) sits in a bar trying to move a couple of souls to his side before the whole thing ends.",1998,"Art House & International, Comedy",NR,Hal Hartley,Hal Hartley,"Martin Donovan, P.J. Harvey, Thomas Jay Ryan, David Simonds, Davd Simonds, Miho Nikaido, D.J. Mendel, Katreen Hardt, James Urbaniak, Yo La Tengo",8.9,6.5,7.488888888888889,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MjY3OTE2MF5BMl5BanBnXkFtZTYwNTM2NzE5._V1_UY268_CR3,0,182,268_AL_.jpg",Disney Plus
1678,The Border,"Charlie Smith (Jack Nicholson) barely scrapes by on his low salary, but his hectoring wife, Marcy (Valerie Perrine), is anxious to move up in the world, so he takes a new position as a border patrol agent alongside the hair-trigger Cat (Harvey Keitel). Soon, Charlie is a reluctant party to Cat's smuggling and other petty criminal actions, but when the corrupt agent sets his avaricious sights on a poor illegal immigrant (Elpidia Carrillo) and her newborn baby, Charlie's moral code returns.",1982,"Action & Adventure, Drama, Mystery & Suspense",R,Tony Richardson,"Deric Washburn, Walon Green, David Freeman, Dave Freeman","Jack Nicholson, Harvey Keitel, Valerie Perrine, Warren Oates, Elpidia Carrillo, Shannon Wilcox, Manuel Viescas, Jeff Morris, Mike Gomez, Dirk Blocker, Lonny Chapman, Stacey Pickren, Floyd Levine, James Jeter, Alan Fudge, William Russ, Gary Grubbs, Gary Sexton, Billy Silva, William McLaughlin, Juan Ramírez, Lupe Ontiveros, David Beecroft, James W. Gavin",8.0,6.4,7.666666666666667,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNjIyNDgwNF5BMl5BanBnXkFtZTcwNDIxMTUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",Amazon Prime
1679,The Boss,"Wealthy CEO Michelle Darnell (Melissa McCarthy) always gets her way, until she's busted for insider trading and sent to federal prison. After leaving jail, Darnell finds herself broke, homeless and hated. Luckily, she tracks down former assistant Claire (Kristen Bell), the only person who's willing to help. While staying with Claire and her young daughter, the ex-con devises a new business model for a brownie empire. Unfortunately, some old enemies stand in the way of her return to the top.",1956,Comedy,R,Ben Falcone,"Ben Falcone, Melissa McCarthy, Steve Mallory","Melissa McCarthy, Kristen Bell, Peter Dinklage, Kristen Schaal, Kathy Bates, Parker Young, Cecily Strong, Margo Martindale, Tyler Labine, Ella Anderson, Timothy Simons, Mary Sohn, Eva Peterson, Aleandra Newcomb, Annie Mumolo, Presley Coley, Ben Falcone, Michael McDonald, Rob Pralgo, Larry Dorf, Cedric Yarbrough, Mark Oliver, Rico Ball, Carla Fisher, Sharon Conley, Joel Esperanza, Morgan Hinkleman, Steve Mallory, Nick Arapoglou, Gayle King, Chandler Head, Vivian Falcone, Isabella Amara, Damon Jones, T-Pain, Dylan Cheek, Parker Allen, Jasmine Harper, John Jeffrey, Devon Li, Allison Williams, Desiree Dixon, Jordan Galloway",2.1,6.4,5.688524590163935,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMzg0MzA1MV5BMl5BanBnXkFtZTcwMjAyNDQzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",Amazon Prime
1680,The Bounty Hunter,"Milo Boyd (Gerard Butler), a down-on-his-luck bounty hunter, thinks he's seeing an upswing in fortune when he gets a call to bring in his bail-jumping ex-wife, a reporter named Nicole (Jennifer Aniston). Milo considers the job an easy payday, but Nicole quickly escapes to chase a lead on a murder case. The former spouses play an escalating game of one-upmanship, until they suddenly find themselves on the run for their lives.",1954,"Action & Adventure, Comedy, Romance",PG-13,Andy Tennant,Sarah Thorp,"Jennifer Aniston, Gerard Butler, Giovanni Perez, Christine Baranski, Jason Sudeikis, Jeff Garlin, Ritchie Coster, Cathy Moriarty, Peter Greene, Joel Marsh Garland, Dorian Missick, Siobhan Fallon Hogan, Carol Kane, Adam Rose, Gio Perez, Jason Kolotouros, Matt Malloy, David Costabile, Mark Budd, Amanda Dutton, Adam LeFevre, Eddie J. Mitchell, Patrick Mitchell, Lou Sumrall, Eric Zuckerman, Lynda Gravatt, Jayne Houdyshell, Mary Testa, Harry Zittel, Charles Techman, Tracy Thorne, Charlie Hewson, Christian Borle, Brooke Allison Stroebele, Wally Dunn, Mike Sheehan, Joel Garland",1.2,6.6,6.2,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNjY4MjY0MV5BMl5BanBnXkFtZTcwNTA2OTYwMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
1681,The Box,"A suburban couple, Norma (Cameron Diaz) and Arthur (James Marsden), face a moral dilemma when they receive a gift that bears irrevocable consequences. With the press of a button, their simple wooden box will bestow $1 million; however, a stranger somewhere else will die, at the same time. The box will be theirs for only 24 hours, and as time ticks away, Norma and Arthur confront the depth of their humanity as they consider their choices.",1974,"Horror, Mystery & Suspense, Science Fiction & Fantasy",PG-13,Richard Kelly,Richard Kelly,"Cameron Diaz, James Marsden, Frank Langella, James Rebhorn, Holmes Osborne, Gillian Jacobs, Sam Oz Stone, Celia Weston, Deborah Rush, Lisa K. Wyatt, Mark S. Cartier, Kevin Robertson, Michele Durrett, Michele Durett, Ian Kahn, John Magaro, Ryan Woodle, Scott Winters, Basil Hoffman, Robert Harvey, Gentry Lee, Andrew Levitas, Gabriel Field, Frank Ridley, Daniel Stewart Sherman, Matthew C. Flynn, Patrick Eugene Canty, Sam Blumenfeld, Kevin DeCoste, Mary Klug, Allyssa Maurice, Danielle Heaton, Rachael Hunt, Michael Zegen, Rachel Hunt, Cheryl McMahon, Evelina Oboza, Bill Buell, Paul Marini, Don Warnock, W. Kirk Avery, Don Hewitt, Floyd Richardson, Dave McDonough, Rick L'Heureux, Nicholas Cairis, Robert Denton, Paul Locke, Danny DeMiller, Jenna Lamia",4.4,7.4,5.6,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MDA5NjIwM15BMl5BanBnXkFtZTcwNTA2MjY0Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg","Amazon Prime, Hulu, Netflix"
1682,The Boy,A 9-year-old sociopath becomes increasingly fascinated with death.,2004,"Drama, Horror, Mystery & Suspense",PG-13,Craig William Macneill,"Craig William Macneill, Clay McLeod Chapman","David Morse, Rainn Wilson, Jared Breeze, Aiden Lovekamp, David Valencia, Mike Vogel, Amalia Santa Maria, Bill Sage, Sam Morse, Zuleikha Robinson, Andres Echavarria, Maria Luisa Ruiz, Manuela Guerra, Hong Kyu Park, Victoria Escobar, Susana Jaramillo, Tomas Eastman, Taige Jensen, Taige Jensen",6.7,7.0,5.943820224719101,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1OTI1Njg1Ml5BMl5BanBnXkFtZTgwNzAyMTQ3NDE@._V1_UX182_CR0,0,182,268_AL_.jpg","Amazon Prime, Netflix"
1683,The Brave One,"New York radio host Erica Bain (Jodie Foster) endures a brutal attack that leaves her badly injured and her beloved fiance dead. The tragedy haunts her, and she sets forth on a personal quest for revenge. Her exploits captivate city residents but, as a determined detective (Terrence Howard) closes in on her, Erica wonders if she is now no better than those she hunts.",1956,"Action & Adventure, Drama, Mystery & Suspense",R,Neil Jordan,"Cynthia Mort, Roderick Taylor, Bruce A. Taylor, Neil Jordan","Terence DaShon Howard, Jodie Foster, Terrence Howard, Nicky Katt, Naveen Andrews, Mary Steenburgen, Jane Adams, Gordon MacDonald, Blake Foster, Ene Oloja, Luis Da Silva Jr., Blaze Foster, Rafael Sardina, Zoë Kravitz, John Magaro, Victor Colicchio, Jermel Howard, Julia Garro, James Biberi, Brian Delate, Lenny Venito, Carmen Ejogo, Dana Eskelson, Angel Sing, Yolande Bavan, Ivo Velon, Tina Sloan, Jaime Tirelli, Larry Fessenden, An Nguyen, Brian Tarantina, Nguyen Anh Hoa, Michael Anthony Williams, Jesús Ruiz, Jemel Howard, Dennis L.A. White, Hope Adams, Joseph Melendez, Ted Neustadt, Brett Berg, Dr. Jeffery Manko, Mick Cunningham, Lisa Joyce, Tom Greer, David Naizir, Robert Michael McClure, Tashya Valdevit, Lai-Si Fernandez, Moises Acevedo, Jack Caruso, Jim Taylor McNickle, Rosanne C. Lucarelli, Leif Riddell, DeShaun Stallworth, Michael J. Burg, Creighton James, Clayton Dean Smith, Barbara Gayle, Anna Margaret Hollyman, Lily Mercer, Musto Pelinkovicci, Dean Meminger, Cheryl Wills, Benjamin Wallfisch",4.3,6.6,6.3,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA4OTA4Njk4MDdeQTJeQWpwZ15BbWU3MDc0NDY1MzM@._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
1684,The Break-Up,"When Brooke (Jennifer Aniston), an art dealer, and Gary (Vince Vaughn), a tour-bus driver, finally call it quits in their relationship, neither is willing to move out of their shared condo. With their friends suggesting a series of underhanded tactics that fail to get either Brooke or Gary to cave in, the only solution is to become hostile roommates.",2006,"Comedy, Drama, Romance",PG-13,Peyton Reed,"Vince Vaughn, Jeremy Garelick, Jay Lavender","Vince Vaughn, Jennifer Aniston, Joey Lauren Adams, Cole Hauser, Jon Favreau, Jason Bateman, Judy Davis, Justin Long, John Michael Higgins, Ann-Margret, Vincent D'Onofrio, Peter Billingsley, Vernon Vaughn, Ivan Sergei, Elaine Robinson, Jane Alderman, Jacqueline Williams, Jane Hu, Rebecca Spence, Mary-Pat Green, Keir O'Donnell, Geoff Stults, Tiffany Addison, Tiffany L. Addison, Jessica Vilchis, Lisa Pace, Samantha Albert, Ryan Cowhey, Susan Messing, Wayne A. Brown, Megan Klein, Maynard Love, William Dick, Jenna Hurt, Jessica Stramer, Ashley Giancola, Lanae Sahs, Nydia Rodriguez Terracina, Phil Ridarelli, Sharon Vaughn, Rhett Miller, Murry Hammond, Ken Bethea, Philip Peeples, Gunnar Madsen, Karl Solis, Michael Winther, Eric Bradley, Paul Peterson, Sean P. Gorecki, Eddie Martinez, Chuck Stubbings, Trisha 'Star' Vargo, Julie Adrianson Neary, Linda Cohn",3.4,5.8,6.232558139534884,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTM1YjVhNTMtZTEyZi00ODk3LWI4NDItZWUyZTA1ODM3Zjk4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
